,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
21,2016-12-31,16410.56933554926,14704.38854508038,17781.443353977404,16410.56933554926,16410.56933554926,-118.10938509223182,-118.10938509223182,-118.10938509223182,-118.10938509223182,-118.10938509223182,-118.10938509223182,0.0,0.0,0.0,16292.459950457027
22,2017-01-31,16813.449526380926,15916.778896131453,18808.021285725743,16813.449526380926,16813.449526380926,635.9332529937524,635.9332529937524,635.9332529937524,635.9332529937524,635.9332529937524,635.9332529937524,0.0,0.0,0.0,17449.38277937468
23,2017-02-28,17177.34131164824,15143.677211350638,18046.699079750906,17177.34131164824,17177.34131164824,-546.5751631431502,-546.5751631431502,-546.5751631431502,-546.5751631431502,-546.5751631431502,-546.5751631431502,0.0,0.0,0.0,16630.766148505092
24,2017-03-31,17580.221502479908,16154.665123709292,19090.47881768322,17580.221502479908,17580.221502479908,101.98728289166752,101.98728289166752,101.98728289166752,101.98728289166752,101.98728289166752,101.98728289166752,0.0,0.0,0.0,17682.208785371575
25,2017-04-30,17970.105556620103,16568.78804941298,19525.77078691335,17970.105556620103,17970.105556620103,61.644149375885284,61.644149375885284,61.644149375885284,61.644149375885284,61.644149375885284,61.644149375885284,0.0,0.0,0.0,18031.74970599599
26,2017-05-31,18372.9857458983,16187.160481956469,19104.89504471431,18372.9857458983,18372.9857458983,-705.1721539210979,-705.1721539210979,-705.1721539210979,-705.1721539210979,-705.1721539210979,-705.1721539210979,0.0,0.0,0.0,17667.8135919772
27,2017-06-30,18762.869800038494,17320.42281667828,20291.511840289935,18762.869800038494,18762.869800038494,108.06677417452235,108.06677417452235,108.06677417452235,108.06677417452235,108.06677417452235,108.06677417452235,0.0,0.0,0.0,18870.936574213018
28,2017-07-31,19165.749992908077,18783.449834001218,21716.713882566066,19165.749992908077,19165.749992908077,1076.381839120019,1076.381839120019,1076.381839120019,1076.381839120019,1076.381839120019,1076.381839120019,0.0,0.0,0.0,20242.131832028095
29,2017-08-31,19568.630185777663,17922.70950295249,20803.80161962455,19568.630185777663,19568.630185777663,-161.6787944784272,-161.6787944784272,-161.6787944784272,-161.6787944784272,-161.6787944784272,-161.6787944784272,0.0,0.0,0.0,19406.951391299237
30,2017-09-30,19958.51424339339,18302.89965457759,21226.540257916047,19958.51424339339,19958.51424339339,-166.1802173957013,-166.1802173957013,-166.1802173957013,-166.1802173957013,-166.1802173957013,-166.1802173957013,0.0,0.0,0.0,19792.33402599769
